SSTn_late,,SSTn_early,,SSTp_late,,SSTp_early,
X,Y,X,Y,X,Y,X,Y
-3.0114942528735638,0,-2.9272030651341,0.013245033112582405,-2.950191570881226,-0.2119205298013238,-2.950191570881226,-0.013245033112582405
-2.9195402298850577,0,-2.7816091954022992,0.14569536423841,-2.7892720306513414,-0.185430463576159,-2.727969348659004,-0.09271523178807861
-2.6743295019157096,0.2516556291390728,-2.6436781609195408,0.2516556291390728,-2.6053639846743297,-0.2384105960264904,-2.4980842911877397,-0.0794701986754962
-2.4674329501915713,0.2649006622516552,-2.4444444444444446,0.2516556291390728,-2.3754789272030656,-0.185430463576159,-2.406130268199234,-0.1721854304635766
-2.2145593869731806,0.0662251655629138,-2.1915708812260535,0.0662251655629138,-2.2145593869731806,-0.10596026490066279,-2.28352490421456,-0.052980132450331396
-1.9693486590038316,0.0662251655629138,-2.038314176245211,-0.10596026490066279,-2.1149425287356323,-0.2649006622516552,-2.1839080459770117,-0.02649006622516481
-1.7854406130268203,-0.052980132450331396,-1.9616858237547898,-0.2781456953642376,-1.8007662835249048,-0.2781456953642376,-2.0459770114942533,-0.0794701986754962
-1.6091954022988508,-0.0794701986754962,-1.8467432950191576,-0.2119205298013238,-1.685823754789272,-0.4370860927152318,-1.9693486590038316,-0.1324503311258276
-1.5402298850574714,0,-1.6628352490421459,0.1589403973509942,-1.5325670498084296,-0.3973509933774828,-1.8160919540229892,-0.22516556291390621
-1.3639846743295028,-0.5562913907284752,-1.5325670498084296,0.3046357615894042,-1.4329501915708818,-0.5562913907284752,-1.5708812260536402,-0.185430463576159
-1.2490421455938696,-0.662251655629138,-1.440613026819924,-0.09271523178807861,-1.3869731800766285,-0.8079470198675498,-1.4865900383141768,-0.2119205298013238
-1.0421455938697326,-0.6754966887417204,-1.2183908045977017,-0.2516556291390728,-1.264367816091954,-0.6754966887417204,-1.440613026819924,-0.4238410596026476
-0.9808429118773949,-0.622516556291389,-0.9885057471264371,-0.2119205298013238,-1.195402298850575,-0.3046357615894042,-1.402298850574713,-0.5695364238410594
-0.7892720306513414,-0.8079470198675498,-0.7662835249042148,-0.052980132450331396,-1.1111111111111116,-0.02649006622516481,-1.2720306513409962,-0.5430463576158928
-0.6896551724137936,-0.8079470198675498,-0.6283524904214559,0.2913907284768218,-0.950191570881227,0.3841059602649004,-1.2107279693486594,-0.4238410596026476
-0.4827586206896557,-0.8609271523178812,-0.5363984674329503,0.5033112582781456,-0.804597701149425,0.5960264900662242,-1.126436781609196,-0.2516556291390728
-0.30651340996168575,-0.9139072847682126,-0.4061302681992336,0.370860927152318,-0.6436781609195403,0.8344370860927164,-1.0268199233716482,-0.22516556291390621
-0.2145593869731801,-0.9801324503311264,-0.2911877394636013,0.1721854304635766,-0.5670498084291191,0.9139072847682126,-0.8582375478927204,-0.3046357615894042
-0.02298850574712663,-0.927152317880795,-0.13026819923371669,0.0662251655629138,-0.4137931034482758,1.2185430463576168,-0.7816091954022992,-0.2516556291390728
0.068965517241379,-0.8609271523178812,0.030651340996167953,0,-0.2068965517241379,1.4701986754966896,-0.6436781609195403,-0.1192052980132452
0.15325670498084243,-0.9801324503311264,0.19157088122605437,0.2516556291390728,-0.03831417624521105,1.5496688741721858,-0.5747126436781613,-0.0794701986754962
0.30651340996168575,-1.0066225165562912,0.3678160919540234,0.4503311258278142,0.061302681992336794,1.5496688741721858,-0.43678160919540243,0.013245033112582405
0.490421455938697,-0.8609271523178812,0.6206896551724137,0.3973509933774828,0.22988505747126453,2.105960264900661,-0.3601532567049812,0.0794701986754962
0.5823754789272026,-0.966887417218544,0.7662835249042139,0.3576158940397356,0.31417624521072796,2.384105960264902,-0.2145593869731801,0.09271523178807861
0.8122605363984672,-0.9536423841059616,0.8505747126436773,0.4503311258278142,0.3371647509578546,2.5695364238410594,-0.13026819923371669,0.02649006622516481
0.8812260536398462,-1.0331125827814578,0.9578544061302674,0.6225165562913908,0.43678160919540243,2.7947019867549674,0.015325670498083532,-0.03973509933774899
0.9578544061302674,-0.9403973509933774,1.0114942528735629,0.7549668874172202,0.5517241379310347,3.178807947019868,0.053639846743294584,0.09271523178807861
1.302681992337165,-0.9403973509933774,1.0727969348659006,0.9403973509933792,0.6130268199233715,3.443708609271523,0.068965517241379,0.3576158940397356
1.440613026819923,-0.8609271523178812,1.1417624521072804,1.0993377483443716,0.7126436781609193,3.774834437086092,0.07662835249042121,0.4635761589403966
1.60919540229885,-0.9006622516556302,1.2567049808429118,1.1920529801324502,0.7816091954022983,4.158940397350993,0.10727969348658917,0.7682119205298026
1.754789272030651,-0.9933774834437088,1.333333333333333,1.258278145695364,0.8352490421455938,4.490066225165562,0.11494252873563138,0.9536423841059616
1.8084291187739456,-1.0463576158940402,1.4559386973180075,1.3509933774834444,0.8965517241379306,4.807947019867549,0.14559386973180022,1.1655629139072854
1.892720306513409,-1.0066225165562912,1.540229885057471,1.337748344370862,0.9731800766283518,5.046357615894039,0.137931034482758,1.3245033112582778
1.9846743295019165,-0.9403973509933774,1.6781609195402298,1.4569536423841054,1.0957854406130272,5.258278145695364,0.16858237547892685,1.6158940397350996
2.076628352490422,-0.966887417218544,1.7701149425287355,1.4304635761589406,1.2183908045977017,5.271523178807946,0.18390804597701216,1.774834437086092
2.137931034482759,-1.0463576158940402,1.862068965517241,1.2317880794701992,1.4329501915708809,5.205298013245033,0.22222222222222232,2.066225165562914
2.245210727969349,-0.9933774834437088,1.9386973180076632,1.1390728476821206,1.6398467432950188,5.152317880794701,0.24521072796934895,2.1986754966887414
2.2988505747126435,-0.966887417218544,2.0842911877394643,1.2715231788079482,1.7394636015325666,5.072847682119205,0.2758620689655178,2.344370860927153
2.4980842911877392,-0.9536423841059616,2.1685823754789277,1.2052980132450344,1.8390804597701145,5.046357615894039,0.31417624521072796,2.5033112582781456
2.590038314176244,-0.8344370860927164,2.2911877394636013,1.0728476821192068,1.9846743295019165,4.662251655629138,0.3601532567049812,2.80794701986755
2.7049808429118762,-0.821192052980134,2.3754789272030647,1.0198675496688754,2.076628352490422,4.47682119205298,0.3984674329501914,2.9801324503311264
2.766283524904214,-0.7152317880794694,2.4980842911877392,0.8079470198675516,2.2298850574712645,4.2781456953642385,0.45977011494252906,3.2317880794701974
2.8582375478927204,-0.701986754966887,2.5670498084291182,0.701986754966887,2.383141762452107,4.251655629139073,0.4980842911877392,3.364238410596027
2.942528735632184,-0.5298013245033104,2.674329501915709,0.5298013245033104,2.5363984674329503,3.999999999999999,0.5363984674329503,3.6158940397350996
2.9961685823754785,-0.4900662251655614,2.735632183908045,0.4370860927152318,2.6819923371647505,3.9735099337748334,0.5747126436781604,3.7880794701986744
3.157088122605364,-0.1986754966887414,2.8275862068965516,0.3973509933774828,2.7509578544061295,3.814569536423841,0.5977011494252871,4.026490066225165
3.2413793103448274,-0.1986754966887414,2.942528735632184,0.516556291390728,2.950191570881227,3.774834437086092,0.5977011494252871,4.211920529801325
3.325670498084291,-0.2516556291390728,3.0651340996168592,0.7152317880794694,3.049808429118775,3.523178807947019,0.6513409961685825,4.463576158940397
3.3563218390804597,-0.2384105960264904,3.1417624521072796,0.821192052980134,3.1494252873563227,3.377483443708609,0.6666666666666661,4.6092715231788075
3.4329501915708818,-0.14569536423841,3.2183908045977017,1.0596026490066226,3.2490421455938705,3.284768211920529,0.6973180076628349,4.887417218543046
