SSTn_late,,SSTn_early,,SSTp_late,,SSTp_early,
X,Y,X,Y,X,Y,X,Y
-2.993311139196128,-0.0462277844572534,-3.0033444304019365,-0.09245204222970166,-2.8026755443215494,0.18489703108978645,-3.0033444304019365,-0.0462277844572534
-2.6923078100755466,0.046224257772448256,-2.7625416140072616,0.0,-2.571906401878209,0.13867277331734476,-2.571906401878209,0.0
-2.391304480954966,0.046224257772448256,-2.4715719588380156,-0.0462277844572534,-2.311036620326391,0.13867277331734476,-2.150501664560291,0.0
-2.030100639108479,0.046224257772448256,-2.2006688860803876,-0.13867630000214334,-2.070233803931716,0.18489703108978645,-1.698996670879419,0.0
-1.7591971836053255,0.0,-1.869564917851328,-0.13867630000214334,-1.7892978227138039,0.2773490733194881,-1.538461715113319,0.046224257772448256
-1.538461715113319,0.046224257772448256,-1.538461715113319,-0.1849005577745916,-1.5183943672106501,0.3235733310919298,-1.4983277847990322,2.3574724132428204
-1.4381272720731264,1.7103222243741558,-1.4581938544847437,2.4036966710152687,-1.488294493593223,3.1895196332012716,-1.4682271456905536,5.223418715352156
-1.3177254811302626,3.4206444487483116,-1.3879600505530294,5.130970199807266,-1.4581938544847437,5.731892604218684,-1.4481605632789352,7.442218355277645
-1.2775923163070266,4.992293899805123,-1.357859411444551,7.765791686369568,-1.4381272720731264,8.089368544146309,-1.3979933417588382,10.400616699616682
-1.2374583859927382,6.748843908636532,-1.347826120238741,10.077039841839946,-1.3879600505530294,10.400616699616682,-1.357859411444551,12.38828799731032
-1.2073577468842598,8.1818170596912,-1.3076921899244538,12.758089112859503,-1.357859411444551,13.081662443951432,-1.2976588987186446,15.069337268329875
-1.1872911644726418,9.614790210745873,-1.2675582596101662,15.023113010557426,-1.2976588987186446,16.178737088292618,-1.2374583859927382,17.28813338157055
-1.1270906517467356,10.53928947293402,-1.2474916771985483,17.380585423800248,-1.2474916771985483,19.22958394817655,-1.1672238165699729,19.368256721493886
-0.9966555695980637,9.522341695200977,-1.1872911644726418,19.414484505951137,-1.2073577468842598,21.864405434738853,-1.096990012638257,20.616332841458767
-0.9565216392837759,7.950692244144159,-1.1070233038440662,20.80123163589096,-1.1371239429525455,23.29738034913592,-1.0167221520096823,21.171030988097737
-0.8160532659292947,5.824344646448379,-1.0066888608038729,19.599381537040923,-1.0668893735297786,23.944528774662185,-0.8963211265578701,20.708781357003662
-0.6755856580658648,3.8366698220699362,-0.9565216392837759,17.426809681572696,-0.9565216392837759,24.175653590209222,-0.8160532659292947,18.027735612668916
-0.5050166456029044,2.3574724132428204,-0.8963211265578701,15.161785783874764,-0.8561871962435825,21.864405434738853,-0.7658860444091977,15.300462083876914
-0.32441510742518664,2.1725718554682287,-0.8361206138319646,12.850537628404393,-0.7257528795859611,18.25886042821595,-0.6856189492716733,13.220338743953576
-0.13377951255060916,1.5254216665995641,-0.7458194619975791,9.614790210745873,-0.6354517277515763,15.254237826104466,-0.6153843798489071,10.909090588483203
0.17725710777578207,0.9244992621881528,-0.6354517277515763,7.303542055275495,-0.5050166456029044,12.38828799731032,-0.5150499368087138,8.73651520633017
0.4682271456905527,0.369797588864378,-0.40468220256271104,4.298919453164009,-0.31438105072832623,10.261940399614538,-0.36454827224842323,6.517719093089492
0.7792637660169439,0.046224257772448256,-0.14381280375641703,2.3112481554703788,-0.12374622134479973,9.060092064106904,-0.20401331648232346,4.714944826485641
1.100334443040195,0.13867277331734476,0.23745838599273927,1.1093962932779327,0.03678949991235125,8.228041317463648,-0.033445069510414926,3.6979970487525984
1.5217387976125871,-0.1849005577745916,0.7391306011937071,1.0169477777330427,0.3377928290329324,7.349766313047943,0.08695672143244826,3.2819716754309667
1.9732437912934584,-0.2773526000042867,1.2608693988062938,0.9707235199606011,0.42809321537626577,7.580891128594983,0.18729116447264227,3.651769264295345
2.4347820761801398,0.13867277331734476,1.662207170967069,0.8320472199584512,0.5986622278392262,8.32049335969335,0.4481605632789347,5.454543530899202
2.8461539050377747,0.2773490733194881,1.9230765697733623,1.063172035505491,0.8193976963312317,9.013867806334456,0.658862740565131,7.9969165019166075
3.377925993856169,0.0,2.1739126773738464,1.063172035505491,0.9899667087941904,9.060092064106904,0.8193976963312317,9.707242252975568
3.7792637660169444,0.3235733310919298,2.705685531683292,1.063172035505491,1.3311032027380088,8.228041317463648,0.9598660696857126,10.585513730706461
3.9498327784799043,0.46224963109407313,3.167223816569974,0.7858229621860096,1.64214058855545,7.164869281958157,1.160534955766101,10.677965772936163
,,3.5083610760048423,0.9244992621881528,2.0033444304019365,6.009245204222971,1.5217387976125871,9.98459132629505
,,3.7692304748111356,0.9707235199606011,2.4046822025627126,4.6687205687131925,1.8026755443215494,9.291216879653938
,,3.9799326520973315,0.693374446641113,2.8260865571351035,4.067794637616976,1.95317720888184,8.551618175240383
,,,,3.2274243292958804,3.6055450065229033,2.09364558223632,7.534666870822535
,,,,3.929765430577235,2.773497786564452,2.3444816898368064,6.24037001977001
,,,,,,2.5752504495346207,5.362095015354305
,,,,,,2.7959866835176763,4.483820010938601
,,,,,,3.016722152009682,3.9291218642996317
,,,,,,3.3678927026503604,3.6055450065229033
,,,,,,3.6989966708794206,3.1432953754288233
,,,,,,3.9498327784799043,2.8197220443369004
