SSTn_late,,,SSTn_early,,,SSTp_late,,,SSTp_early,,
Cue,Pre-Reward,Reward,Cue,Pre-Reward,Reward,Cue,Pre-Reward,Reward,Cue,Pre-Reward,Reward
3.919355,0.774194,0.580645,4.258065,0.483871,1.451613,3.677419,1.016129,1.451613,4.209677,1.354839,2.612903
